Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1125.000000
58.930408	-3231.073486	-3231.073486	-3231.049462	0.000041	0.000078	-3231.095966
59.537941	-3231.107666	-3231.107666	-3231.083173	0.000042	0.000079	-3231.130453
60.145470	-3231.127441	-3231.127441	-3231.102389	0.000043	0.000080	-3231.150689
60.752998	-3231.133789	-3231.133789	-3231.108138	0.000044	0.000082	-3231.157489
61.360531	-3231.127686	-3231.127686	-3231.101488	0.000045	0.000084	-3231.151932
61.968060	-3231.109619	-3231.109619	-3231.082950	0.000046	0.000084	-3231.134195
62.575588	-3231.080322	-3231.080322	-3231.053009	0.000047	0.000086	-3231.105391
63.183121	-3231.040527	-3231.040527	-3231.012700	0.000047	0.000086	-3231.065905
63.790649	-3230.990723	-3230.990723	-3230.962529	0.000048	0.000087	-3231.016371
64.398178	-3230.931641	-3230.931641	-3230.902653	0.000049	0.000090	-3230.958041
