T(K)	A(NVT)(eV/cell)	U(NVT)(eV/cell)	S(NVT)(eV/cell)	Cv(T)(eV/cell)	Cv(J/K.mol)
5.000000	-3231.133789	-3231.133789	0.000000	0.000000	0.000000
45.000000	-3231.133819	-3231.133746	0.000002	0.000000	0.000000
85.000000	-3231.133913	-3231.133651	0.000003	0.000000	0.000000
125.000000	-3231.134066	-3231.133499	0.000005	0.000000	0.000000
165.000000	-3231.134277	-3231.133288	0.000006	0.000000	0.000000
205.000000	-3231.134546	-3231.133020	0.000007	0.000000	0.000000
245.000000	-3231.134873	-3231.132693	0.000009	0.000000	0.000000
285.000000	-3231.135259	-3231.132307	0.000010	0.000000	0.000000
325.000000	-3231.135703	-3231.131862	0.000012	0.000000	0.000000
365.000000	-3231.136205	-3231.131358	0.000013	0.000000	0.000000
405.000000	-3231.136766	-3231.130793	0.000015	0.000000	0.000000
445.000000	-3231.137385	-3231.130166	0.000016	0.000000	0.000000
485.000000	-3231.138065	-3231.129475	0.000018	0.000000	0.000000
525.000000	-3231.138804	-3231.128720	0.000019	0.000000	0.000000
565.000000	-3231.139602	-3231.127899	0.000021	0.000000	0.000000
605.000000	-3231.140461	-3231.127008	0.000022	0.000000	0.000000
645.000000	-3231.141383	-3231.126048	0.000024	0.000000	0.000000
685.000000	-3231.142365	-3231.125014	0.000025	0.000000	0.000000
725.000000	-3231.143410	-3231.123905	0.000027	0.000000	0.000000
765.000000	-3231.144518	-3231.122719	0.000028	0.000000	0.000000
805.000000	-3231.145693	-3231.121452	0.000030	0.000000	0.000000
845.000000	-3231.146930	-3231.120103	0.000032	0.000000	0.000000
885.000000	-3231.148233	-3231.118669	0.000033	0.000000	0.000000
925.000000	-3231.149604	-3231.117147	0.000035	0.000000	0.000000
965.000000	-3231.151043	-3231.115535	0.000037	0.000000	0.000000
1005.000000	-3231.152549	-3231.113831	0.000039	0.000000	0.000000
1045.000000	-3231.154124	-3231.112031	0.000040	0.000000	0.000000
1085.000000	-3231.155772	-3231.110134	0.000042	0.000000	0.000000
1125.000000	-3231.157489	-3231.108138	0.000044	0.000000	0.000000
1165.000000	-3231.159278	-3231.106039	0.000046	0.000000	0.000000
1205.000000	-3231.161140	-3231.103835	0.000048	0.000000	0.000000
1245.000000	-3231.163081	-3231.101525	0.000049	0.000000	0.000000
1285.000000	-3231.165093	-3231.099105	0.000051	0.000000	0.000000
1325.000000	-3231.167183	-3231.096574	0.000053	0.000000	0.000000
1365.000000	-3231.169350	-3231.093928	0.000055	0.000000	0.000000
1405.000000	-3231.171603	-3231.091166	0.000057	0.000000	0.000000
1445.000000	-3231.173931	-3231.088285	0.000059	0.000000	0.000000
1485.000000	-3231.176340	-3231.085282	0.000061	0.000000	0.000000
1525.000000	-3231.178832	-3231.082155	0.000063	0.000000	0.000000
1565.000000	-3231.181417	-3231.078902	0.000066	0.000000	0.000000
1605.000000	-3231.184080	-3231.075520	0.000068	0.000000	0.000000
1645.000000	-3231.186830	-3231.072007	0.000070	0.000000	0.000000
1685.000000	-3231.189672	-3231.068359	0.000072	0.000000	0.000000
1725.000000	-3231.192604	-3231.064574	0.000074	0.000000	0.000000
1765.000000	-3231.195621	-3231.060651	0.000076	0.000000	0.000000
1805.000000	-3231.198730	-3231.056585	0.000079	0.000000	0.000000
1845.000000	-3231.201942	-3231.052374	0.000081	0.000000	0.000000
1885.000000	-3231.205236	-3231.048016	0.000083	0.000000	0.000000
1925.000000	-3231.208625	-3231.043508	0.000086	0.000000	0.000000
1965.000000	-3231.212110	-3231.038848	0.000088	0.000000	0.000000
