T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.395334e-02	nan	1.440955
45.000000	3.108574e-01	nan	1.465840
85.000000	5.871751e-01	nan	1.465840
125.000000	8.634928e-01	nan	1.465840
165.000000	1.139810e+00	nan	1.465840
205.000000	1.416128e+00	nan	1.465840
245.000000	1.692446e+00	nan	1.465840
285.000000	1.968764e+00	1.966543e+00	1.465840
325.000000	2.245081e+00	2.246419e+00	1.465840
365.000000	2.521399e+00	2.529549e+00	1.465840
405.000000	2.797717e+00	2.817013e+00	1.465840
445.000000	3.074034e+00	3.109932e+00	1.465840
485.000000	3.350352e+00	3.409423e+00	1.465840
525.000000	3.626670e+00	3.716560e+00	1.465840
565.000000	3.902987e+00	4.032337e+00	1.465840
605.000000	4.179305e+00	4.357637e+00	1.465840
645.000000	4.455623e+00	4.693221e+00	1.465840
685.000000	4.731941e+00	5.039711e+00	1.465840
725.000000	5.008258e+00	5.397591e+00	1.465840
765.000000	5.284576e+00	5.767216e+00	1.465840
805.000000	5.560894e+00	6.148819e+00	1.465840
845.000000	5.837211e+00	6.542528e+00	1.465840
885.000000	6.113529e+00	6.948387e+00	1.465840
925.000000	6.389847e+00	7.366368e+00	1.465840
965.000000	6.666164e+00	7.796397e+00	1.465840
1005.000000	6.942482e+00	8.238368e+00	1.465840
1045.000000	7.218800e+00	8.692157e+00	1.465840
1085.000000	7.495118e+00	9.157638e+00	1.465840
1125.000000	7.771435e+00	9.634694e+00	1.465840
1165.000000	8.047753e+00	1.012322e+01	1.465840
1205.000000	8.324071e+00	1.062314e+01	1.465840
1245.000000	8.600388e+00	1.113441e+01	1.465840
1285.000000	8.876706e+00	1.165698e+01	1.465840
1325.000000	9.153024e+00	1.219087e+01	1.465840
1365.000000	9.429341e+00	1.273610e+01	1.465840
1405.000000	9.705659e+00	1.329272e+01	1.465840
1445.000000	9.981977e+00	1.386079e+01	1.465840
1485.000000	1.025829e+01	1.444041e+01	1.465840
1525.000000	1.053461e+01	1.503167e+01	1.465840
1565.000000	1.081093e+01	1.563467e+01	1.465840
1605.000000	1.108725e+01	1.624951e+01	1.465840
1645.000000	1.136357e+01	1.687631e+01	1.465840
1685.000000	1.163988e+01	1.751515e+01	1.465840
1725.000000	1.191620e+01	1.816614e+01	1.465840
1765.000000	1.219252e+01	1.882934e+01	1.465840
1805.000000	1.246884e+01	1.950482e+01	1.465840
1845.000000	1.274515e+01	2.019263e+01	1.465840
1885.000000	1.302147e+01	2.089280e+01	1.465840
1925.000000	1.329779e+01	2.160534e+01	1.465840
1965.000000	1.357411e+01	2.233023e+01	1.465840
