T(K)	A(NVT)(eV/cell)	U(NVT)(eV/cell)	S(NVT)(eV/cell)	Cv(T)(eV/cell)	Cv(J/K.mol)
5.000000	-3231.127686	-3231.127686	0.000000	0.000000	0.000000
45.000000	-3231.127716	-3231.127642	0.000002	0.000000	0.000000
85.000000	-3231.127813	-3231.127544	0.000003	0.000000	0.000000
125.000000	-3231.127970	-3231.127388	0.000005	0.000000	0.000000
165.000000	-3231.128186	-3231.127172	0.000006	0.000000	0.000000
205.000000	-3231.128462	-3231.126897	0.000008	0.000000	0.000000
245.000000	-3231.128797	-3231.126562	0.000009	0.000000	0.000000
285.000000	-3231.129192	-3231.126167	0.000011	0.000000	0.000000
325.000000	-3231.129647	-3231.125712	0.000012	0.000000	0.000000
365.000000	-3231.130162	-3231.125196	0.000014	0.000000	0.000000
405.000000	-3231.130736	-3231.124618	0.000015	0.000000	0.000000
445.000000	-3231.131371	-3231.123977	0.000017	0.000000	0.000000
485.000000	-3231.132067	-3231.123271	0.000018	0.000000	0.000000
525.000000	-3231.132823	-3231.122500	0.000020	0.000000	0.000000
565.000000	-3231.133640	-3231.121660	0.000021	0.000000	0.000000
605.000000	-3231.134519	-3231.120751	0.000023	0.000000	0.000000
645.000000	-3231.135463	-3231.119769	0.000024	0.000000	0.000000
685.000000	-3231.136468	-3231.118714	0.000026	0.000000	0.000000
725.000000	-3231.137537	-3231.117582	0.000028	0.000000	0.000000
765.000000	-3231.138671	-3231.116370	0.000029	0.000000	0.000000
805.000000	-3231.139872	-3231.115077	0.000031	0.000000	0.000000
845.000000	-3231.141138	-3231.113700	0.000032	0.000000	0.000000
885.000000	-3231.142471	-3231.112236	0.000034	0.000000	0.000000
925.000000	-3231.143872	-3231.110683	0.000036	0.000000	0.000000
965.000000	-3231.145343	-3231.109037	0.000038	0.000000	0.000000
1005.000000	-3231.146883	-3231.107298	0.000039	0.000000	0.000000
1045.000000	-3231.148493	-3231.105461	0.000041	0.000000	0.000000
1085.000000	-3231.150176	-3231.103526	0.000043	0.000000	0.000000
1125.000000	-3231.151932	-3231.101488	0.000045	0.000000	0.000000
1165.000000	-3231.153761	-3231.099346	0.000047	0.000000	0.000000
1205.000000	-3231.155664	-3231.097097	0.000049	0.000000	0.000000
1245.000000	-3231.157648	-3231.094738	0.000051	0.000000	0.000000
1285.000000	-3231.159705	-3231.092269	0.000052	0.000000	0.000000
1325.000000	-3231.161840	-3231.089684	0.000054	0.000000	0.000000
1365.000000	-3231.164055	-3231.086983	0.000056	0.000000	0.000000
1405.000000	-3231.166358	-3231.084163	0.000059	0.000000	0.000000
1445.000000	-3231.168737	-3231.081221	0.000061	0.000000	0.000000
1485.000000	-3231.171199	-3231.078155	0.000063	0.000000	0.000000
1525.000000	-3231.173750	-3231.074962	0.000065	0.000000	0.000000
1565.000000	-3231.176388	-3231.071639	0.000067	0.000000	0.000000
1605.000000	-3231.179109	-3231.068185	0.000069	0.000000	0.000000
1645.000000	-3231.181919	-3231.064595	0.000071	0.000000	0.000000
1685.000000	-3231.184824	-3231.060868	0.000074	0.000000	0.000000
1725.000000	-3231.187820	-3231.057000	0.000076	0.000000	0.000000
1765.000000	-3231.190903	-3231.052990	0.000078	0.000000	0.000000
1805.000000	-3231.194080	-3231.048834	0.000080	0.000000	0.000000
1845.000000	-3231.197361	-3231.044529	0.000083	0.000000	0.000000
1885.000000	-3231.200728	-3231.040073	0.000085	0.000000	0.000000
1925.000000	-3231.204191	-3231.035463	0.000088	0.000000	0.000000
1965.000000	-3231.207751	-3231.030697	0.000090	0.000000	0.000000
