Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):965.000000
58.930408	-3231.073486	-3231.073486	-3231.056359	0.000035	0.000067	-3231.089886
59.537941	-3231.107666	-3231.107666	-3231.090222	0.000035	0.000068	-3231.124272
60.145470	-3231.127441	-3231.127441	-3231.109605	0.000036	0.000069	-3231.144378
60.752998	-3231.133789	-3231.133789	-3231.115535	0.000037	0.000070	-3231.151043
61.360531	-3231.127686	-3231.127686	-3231.109037	0.000038	0.000072	-3231.145343
61.968060	-3231.109619	-3231.109619	-3231.090654	0.000038	0.000072	-3231.127504
62.575588	-3231.080322	-3231.080322	-3231.060908	0.000039	0.000073	-3231.098554
63.183121	-3231.040527	-3231.040527	-3231.020778	0.000040	0.000074	-3231.058965
63.790649	-3230.990723	-3230.990723	-3230.970729	0.000040	0.000075	-3231.009351
64.398178	-3230.931641	-3230.931641	-3230.911070	0.000041	0.000077	-3230.950818
