Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1605.000000
58.930408	-3231.073486	-3231.073486	-3231.019009	0.000064	0.000112	-3231.120969
59.537941	-3231.107666	-3231.107666	-3231.052046	0.000065	0.000113	-3231.155900
60.145470	-3231.127441	-3231.127441	-3231.070527	0.000066	0.000115	-3231.176699
60.752998	-3231.133789	-3231.133789	-3231.075520	0.000068	0.000116	-3231.184080
61.360531	-3231.127686	-3231.127686	-3231.068185	0.000069	0.000119	-3231.179109
61.968060	-3231.109619	-3231.109619	-3231.048933	0.000070	0.000120	-3231.161836
62.575588	-3231.080322	-3231.080322	-3231.018171	0.000072	0.000122	-3231.133662
63.183121	-3231.040527	-3231.040527	-3230.977015	0.000073	0.000123	-3231.094672
63.790649	-3230.990723	-3230.990723	-3230.926207	0.000074	0.000124	-3231.045518
64.398178	-3230.931641	-3230.931641	-3230.865473	0.000076	0.000128	-3230.988001
