Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):485.000000
58.930408	-3231.073486	-3231.073486	-3231.069402	0.000017	0.000034	-3231.077586
59.537941	-3231.107666	-3231.107666	-3231.103520	0.000017	0.000034	-3231.111801
60.145470	-3231.127441	-3231.127441	-3231.123208	0.000017	0.000035	-3231.131650
60.752998	-3231.133789	-3231.133789	-3231.129475	0.000018	0.000035	-3231.138065
61.360531	-3231.127686	-3231.127686	-3231.123271	0.000018	0.000036	-3231.132067
61.968060	-3231.109619	-3231.109619	-3231.105150	0.000018	0.000036	-3231.114047
62.575588	-3231.080322	-3231.080322	-3231.075767	0.000019	0.000037	-3231.084825
63.183121	-3231.040527	-3231.040527	-3231.035922	0.000019	0.000037	-3231.045068
63.790649	-3230.990723	-3230.990723	-3230.986070	0.000019	0.000038	-3230.995305
64.398178	-3230.931641	-3230.931641	-3230.926853	0.000020	0.000039	-3230.936360
