Ex(GPa)	Ey(GPa)
-683.821088	235.458479
-686.642805	249.917539
-689.401629	264.636487
-692.061628	279.611043
-694.585187	294.833915
-696.931781	310.294016
-699.059022	325.976571
-700.922687	341.862832
-702.476610	357.929706
-703.673267	374.149708
-704.464726	390.491169
-704.801967	406.917600
-704.636437	423.388280
-703.920309	439.858222
-702.606929	456.278270
-700.652203	472.595873
-698.014530	488.755030
-694.656473	504.697464
-690.544436	520.362551
-685.651027	535.689286
-679.953827	550.615746
-673.437576	565.081215
-666.093613	579.026338
-657.921420	592.395101
-648.927339	605.134527
-639.126086	617.196880
-628.539392	628.539385
-617.196760	639.125947
-605.134534	648.927332
-592.395047	657.921345
-579.026345	666.093607
-565.081107	673.437432
-550.615754	679.953821
-535.689294	685.651021
-520.362663	690.544569
-504.697472	694.656467
-488.755038	698.014524
-472.595881	700.652198
-456.278278	702.606924
-439.858188	703.920236
-423.388288	704.636432
-406.917608	704.801963
-390.491141	704.464656
-374.149786	703.673394
-357.929681	702.476541
-341.862840	700.922683
-325.976667	699.059207
-310.294079	696.931902
-294.833923	694.585184
-279.611051	692.061625
-264.636472	689.401566
-249.917546	686.642803
-235.458507	683.821143
-221.260420	680.969539
-207.321893	678.119341
-193.638729	675.298485
-180.204743	672.533242
-167.011724	669.847420
-154.049715	667.262604
-141.307263	664.798384
-128.771619	662.472527
-116.428774	660.300366
-104.263841	658.295960
-92.261108	656.471866
-80.404046	654.838370
-68.675619	653.404827
-57.058283	652.179108
-45.534081	651.167639
-34.084754	650.375766
-22.691769	649.807113
-11.336456	649.464889
-0.000004	649.350663
