Bx(GPa)	By(GPa)
4545.454510	0.000000
4544.761915	79.329114
4542.685241	158.634064
4539.225423	237.890724
4534.381711	317.074857
4528.157683	396.162464
4520.554035	475.129374
4511.573381	553.951556
4501.218757	632.605041
4489.492125	711.065697
4476.399139	789.309944
4461.941708	867.313608
4446.125423	945.053132
4428.954806	1022.504783
4410.435085	1099.644970
4390.572194	1176.450272
4369.371311	1252.897061
4346.840054	1328.962370
4322.983846	1404.622596
4297.811958	1479.855332
4271.330344	1554.637104
4243.547641	1628.945319
4214.472034	1702.757228
4184.112938	1776.050568
4152.479596	1848.803029
4119.580546	1920.991955
4085.427452	1992.596104
4050.029625	2063.593163
4013.398385	2133.961772
3975.544093	2203.680073
3936.479339	2272.727403
3896.214974	2341.082138
3854.764300	2408.724067
3812.139169	2475.632120
3768.352824	2541.786071
3723.418109	2607.165425
3677.349947	2671.751124
3630.161383	2735.522809
3581.866799	2798.461042
3532.481617	2860.547207
3482.019941	2921.761644
3430.498067	2982.086470
3377.931224	3041.502931
3324.334984	3099.992519
3269.726126	3157.537811
3214.121923	3214.121918
3157.537817	3269.726121
3099.992524	3324.334979
3041.502936	3377.931219
2982.086475	3430.498063
2921.761649	3482.019936
2860.547213	3532.481613
2798.461048	3581.866794
2735.522815	3630.161378
2671.751129	3677.349943
2607.165431	3723.418105
2541.786077	3768.352820
2475.632126	3812.139165
2408.724073	3854.764296
2341.082144	3896.214970
2272.727410	3936.479335
2203.680079	3975.544090
2133.961778	4013.398381
2063.593169	4050.029621
1992.596111	4085.427449
1920.992216	4119.581088
1848.803036	4152.479593
1776.050575	4184.112935
1702.757122	4214.471752
1628.945325	4243.547639
1554.637111	4271.330342
1479.855339	4297.811956
1404.622603	4322.983843
1328.962377	4346.840052
1252.897068	4369.371309
1176.450280	4390.572192
1099.644977	4410.435083
1022.504791	4428.954804
945.053139	4446.125422
867.313615	4461.941707
789.309951	4476.399137
711.065704	4489.492124
632.605048	4501.218756
553.951563	4511.573380
475.129382	4520.554034
396.162471	4528.157683
317.074864	4534.381711
237.890731	4539.225422
158.634071	4542.685241
79.329122	4544.761914
0.000007	4545.454510
-79.329107	4544.761915
-158.634057	4542.685242
-237.890717	4539.225423
-317.074850	4534.381712
-396.162456	4528.157684
-475.129367	4520.554035
-553.951549	4511.573382
-632.605033	4501.218758
-711.065690	4489.492126
-789.309937	4476.399140
-867.313601	4461.941710
-945.053125	4446.125425
-1022.504776	4428.954807
-1099.644963	4410.435087
-1176.450265	4390.572196
-1252.897054	4369.371313
-1328.962363	4346.840056
-1404.622589	4322.983848
-1479.855326	4297.811961
-1554.637097	4271.330347
-1628.945312	4243.547644
-1702.757221	4214.472037
-1776.050562	4184.112941
-1848.803022	4152.479599
-1920.991948	4119.580549
-1992.596098	4085.427455
-2063.593156	4050.029628
-2133.961765	4013.398388
-2203.680066	3975.544097
-2272.727397	3936.479343
-2341.082132	3896.214978
-2408.724060	3854.764304
