Ex(GPa)	Ey(GPa)
0.000000	649.350663
11.332686	649.249162
22.661650	648.944745
33.983183	648.437761
45.293560	647.728090
56.589095	646.816319
67.866100	645.702809
79.120902	644.388039
90.349866	642.872701
101.549319	641.157166
112.715760	639.242840
123.845532	637.130029
134.935111	634.819784
145.981030	632.313312
156.979824	629.611685
167.928031	626.715945
178.822259	623.627331
189.659226	620.347377
200.435537	616.877154
211.148058	613.218487
221.793488	609.372600
232.368693	605.341142
242.870536	601.125671
253.295958	596.727883
263.641992	592.149611
273.905540	587.392326
284.083852	582.458215
294.173880	577.348748
304.172940	572.066100
314.078041	566.611786
323.886652	560.988138
333.595916	555.196840
343.203264	549.240035
352.706024	543.119650
362.101649	536.837773
371.387474	530.396281
380.561095	523.797412
389.620109	517.043348
398.561859	510.135917
407.384084	503.077448
416.084390	495.870068
424.660296	488.515789
433.109580	481.016920
441.429870	473.375580
449.618862	465.593962
457.674324	457.674325
465.593891	449.618795
473.375544	441.429837
481.016847	433.109515
488.515825	424.660329
495.870030	416.084360
503.077409	407.384054
510.135878	398.561830
517.043348	389.620109
523.797451	380.561125
530.396241	371.387447
536.837732	362.101623
543.119690	352.706052
549.239993	343.203239
555.196965	333.595993
560.988011	323.886580
566.611871	314.078089
572.066056	304.172918
577.348704	294.173859
582.458258	284.083875
587.392370	273.905561
592.149700	263.642033
596.727838	253.295940
601.125580	242.870500
605.341096	232.368677
609.372508	221.793455
613.218394	211.148027
616.877153	200.435538
620.347330	189.659213
623.627284	178.822247
626.715802	167.927994
629.611590	156.979801
632.313359	145.981042
634.819832	134.935122
637.129981	123.845524
639.242791	112.715752
641.157312	101.549343
642.872556	90.349847
644.388088	79.120909
645.702809	67.866101
646.816270	56.589092
647.728090	45.293561
648.437761	33.983184
648.944941	22.661658
649.249260	11.332689
649.350712	0.000001
649.249260	-11.332687
648.944941	-22.661656
648.437761	-33.983182
647.728090	-45.293559
646.816270	-56.589090
645.702809	-67.866099
644.388039	-79.120901
642.872556	-90.349844
641.157312	-101.549341
639.242792	-112.715750
637.129981	-123.845522
634.819833	-134.935120
632.313360	-145.981040
629.611638	-156.979811
626.715803	-167.927992
623.627284	-178.822245
620.347378	-189.659225
616.877154	-200.435536
613.218394	-211.148025
609.372509	-221.793453
605.341097	-232.368675
601.125581	-242.870498
596.727839	-253.295938
592.149566	-263.641972
587.392371	-273.905560
582.458259	-284.083873
577.348705	-294.173857
572.066057	-304.172916
566.611872	-314.078088
560.988012	-323.886578
555.196966	-333.595991
549.239994	-343.203237
543.119691	-352.706050
536.837611	-362.101539
530.396242	-371.387445
523.797452	-380.561123
517.043349	-389.620108
