Ex(GPa)	Ey(GPa)
649.350663	0.000000
649.251714	11.332731
648.955047	22.662010
648.460799	33.984390
647.768779	45.296406
646.879638	56.594635
645.793403	67.875622
644.510501	79.135939
643.031227	90.372145
641.356030	101.580816
639.485615	112.758568
637.420262	123.901947
635.160697	135.007574
632.707799	146.072105
630.062125	157.092131
627.224623	168.064331
624.195967	178.985313
620.977221	189.851789
617.569086	200.660360
613.973160	211.407913
610.190026	222.091007
606.221115	232.706483
602.067405	243.251021
597.730392	253.721498
593.211393	264.114728
588.511473	274.427407
583.632466	284.656573
578.575633	294.799009
573.342648	304.851693
567.934844	314.811424
562.354213	324.675356
556.602113	334.440290
550.680552	344.103399
544.591289	353.661718
538.336138	363.112310
531.916883	372.452211
525.335682	381.678714
518.594537	390.789013
511.695228	399.780126
504.640207	408.649582
497.431429	417.394528
490.071129	426.012333
482.561585	434.500402
474.904975	442.856053
467.103741	451.076839
459.160292	459.160291
451.076839	467.103740
442.856054	474.904975
434.500403	482.561585
426.012333	490.071129
417.394529	497.431429
408.649583	504.640207
399.780127	511.695227
390.788985	518.594497
381.678715	525.335681
372.452211	531.916882
363.112310	538.336137
353.661746	544.591330
344.103426	550.680593
334.440291	556.602112
324.675356	562.354212
314.811425	567.934843
304.851694	573.342648
294.799010	578.575633
284.656574	583.632465
274.427470	588.511606
264.114729	593.211393
253.721499	597.730391
243.251022	602.067405
232.706484	606.221114
222.091007	610.190026
211.407914	613.973160
200.660361	617.569085
189.851761	620.977127
178.985300	624.195919
168.064332	627.224623
157.092144	630.062173
146.072106	632.707799
135.007585	635.160745
123.901948	637.420262
112.758569	639.485615
101.580817	641.356030
90.372146	643.031227
79.135940	644.510501
67.875618	645.793354
56.594636	646.879638
45.296407	647.768779
33.984391	648.460799
22.662011	648.955047
11.332732	649.251714
0.000001	649.350663
-11.332730	649.251714
-22.662009	648.955047
-33.984389	648.460799
-45.296405	647.768779
-56.594634	646.879639
-67.875616	645.793354
-79.135938	644.510501
-90.372144	643.031227
-101.580815	641.356030
-112.758567	639.485616
-123.901946	637.420262
-135.007583	635.160745
-146.072104	632.707800
-157.092154	630.062221
-168.064330	627.224623
-178.985298	624.195920
-189.851773	620.977174
-200.660359	617.569086
-211.407912	613.973160
-222.091006	610.190026
-232.706482	606.221115
-243.251020	602.067405
-253.721497	597.730392
-264.114727	593.211394
-274.427406	588.511474
-284.656572	583.632466
-294.799008	578.575634
-304.851692	573.342649
-314.811423	567.934844
-324.675355	562.354213
-334.440289	556.602113
-344.103424	550.680594
-353.661744	544.591331
-363.112309	538.336139
-372.452210	531.916883
-381.678713	525.335683
-390.788983	518.594499
-399.780125	511.695229
