Ex(GPa)	Ey(GPa)
0.000000	649.350663
11.328923	649.033579
22.631617	648.084712
33.882225	646.511368
45.055568	644.324637
56.127561	641.540957
67.075437	638.180155
77.878074	634.266015
88.516192	629.825436
98.972567	624.888194
109.232237	619.486798
119.282452	613.655016
129.112850	607.428205
138.715511	600.842891
148.084790	593.935653
157.217348	586.743133
166.112039	579.301526
174.769818	571.646317
183.193466	563.811515
191.387806	555.830549
199.358932	547.734166
207.114677	539.552180
214.663952	531.311927
222.016894	523.039027
229.184560	514.756951
236.178707	506.486872
243.011853	498.248136
249.696931	490.057821
256.247248	481.930981
262.676349	473.880679
268.997998	465.918200
275.225892	458.052806
281.373863	450.292309
287.455436	442.642555
293.484188	435.108202
299.473204	427.692060
305.435642	420.396096
311.383998	413.220523
317.330579	406.164619
323.287370	399.226655
329.265754	392.403645
335.276802	385.691841
341.331125	379.086620
347.438596	372.582280
353.608840	366.172673
359.850810	359.850811
366.172673	353.608840
372.582279	347.438597
379.086619	341.331126
385.691840	335.276802
392.403645	329.265754
399.226655	323.287371
406.164619	317.330579
413.220523	311.383999
420.396096	305.435643
427.692060	299.473205
435.108202	293.484188
442.642555	287.455437
450.292309	281.373864
458.052805	275.225893
465.918199	268.997999
473.880678	262.676350
481.930981	256.247249
490.057821	249.696932
498.248136	243.011854
506.486937	236.178738
514.756951	229.184561
523.039026	222.016895
531.311856	214.663924
539.552179	207.114677
547.734165	199.358933
555.830549	191.387807
563.811515	183.193467
571.646277	174.769807
579.301525	166.112040
586.743133	157.217349
593.935653	148.084791
600.842891	138.715512
607.428204	129.112851
613.655016	119.282453
619.486798	109.232238
624.888194	98.972568
629.825436	88.516193
634.266015	77.878075
638.180155	67.075438
641.540957	56.127562
644.324637	45.055569
646.511368	33.882226
648.084712	22.631618
649.033579	11.328924
649.350663	0.000001
649.033579	-11.328922
648.084712	-22.631616
646.511368	-33.882224
644.324637	-45.055567
641.540957	-56.127560
638.180155	-67.075436
634.266015	-77.878073
629.825436	-88.516191
624.888194	-98.972566
619.486798	-109.232236
613.655016	-119.282451
607.428205	-129.112850
600.842892	-138.715510
593.935653	-148.084789
586.743133	-157.217348
579.301526	-166.112038
571.646317	-174.769817
563.811515	-183.193465
555.830549	-191.387805
547.734166	-199.358932
539.552180	-207.114676
531.311927	-214.663951
523.039027	-222.016894
514.756951	-229.184559
506.486872	-236.178706
498.248137	-243.011852
490.057821	-249.696930
481.930982	-256.247247
473.880679	-262.676348
465.918200	-268.997997
458.052806	-275.225891
450.292310	-281.373862
442.642555	-287.455435
435.108203	-293.484187
427.692061	-299.473204
420.396097	-305.435641
413.220524	-311.383998
406.164620	-317.330578
399.226656	-323.287370
392.403646	-329.265753
385.691841	-335.276801
379.086620	-341.331124
372.582281	-347.438596
366.172761	-353.608923
359.850812	-359.850810
353.608841	-366.172672
347.438598	-372.582279
341.331126	-379.086619
335.276803	-385.691840
329.265755	-392.403644
323.287372	-399.226654
317.330580	-406.164618
311.384000	-413.220522
305.435643	-420.396095
299.473206	-427.692059
293.484189	-435.108201
287.455437	-442.642554
281.373864	-450.292308
275.225894	-458.052805
268.997999	-465.918199
262.676318	-473.880618
256.247249	-481.930981
249.696933	-490.057820
243.011855	-498.248135
236.178739	-506.486937
229.184562	-514.756950
222.016896	-523.039026
214.663925	-531.311855
207.114678	-539.552179
199.358934	-547.734165
191.387808	-555.830548
183.193468	-563.811514
174.769808	-571.646277
166.112041	-579.301525
157.217350	-586.743132
148.084792	-593.935653
138.715513	-600.842891
129.112843	-607.428160
119.282454	-613.655016
109.232239	-619.486798
98.972569	-624.888193
88.516194	-629.825436
77.878076	-634.266015
67.075439	-638.180155
56.127563	-641.540956
45.055570	-644.324637
33.882227	-646.511368
22.631619	-648.084712
11.328925	-649.033579
0.000002	-649.350663
-11.328921	-649.033579
-22.631615	-648.084712
-33.882223	-646.511368
-45.055566	-644.324637
-56.127559	-641.540957
-67.075435	-638.180155
-77.878072	-634.266015
-88.516190	-629.825436
-98.972565	-624.888194
-109.232235	-619.486798
-119.282450	-613.655016
-129.112849	-607.428205
-138.715509	-600.842892
-148.084788	-593.935653
-157.217347	-586.743133
-166.112037	-579.301526
-174.769816	-571.646318
-183.193464	-563.811515
-191.387804	-555.830550
-199.358931	-547.734166
-207.114675	-539.552180
-214.663951	-531.311927
-222.016893	-523.039027
-229.184559	-514.756952
-236.178705	-506.486872
-243.011851	-498.248137
-249.696930	-490.057822
-256.247198	-481.930890
-262.676348	-473.880680
-268.997996	-465.918201
-275.225891	-458.052807
-281.373862	-450.292310
-287.455435	-442.642556
-293.484186	-435.108203
-299.473203	-427.692061
-305.435641	-420.396097
-311.383997	-413.220524
-317.330577	-406.164620
-323.287369	-399.226656
-329.265752	-392.403646
-335.276800	-385.691842
-341.331124	-379.086621
-347.438595	-372.582281
-353.608922	-366.172761
-359.850809	-359.850812
-366.172672	-353.608841
-372.582278	-347.438598
-379.086618	-341.331127
-385.691839	-335.276803
-392.403644	-329.265755
-399.226653	-323.287372
-406.164618	-317.330581
-413.220522	-311.384000
-420.396095	-305.435644
-427.692059	-299.473206
-435.108201	-293.484190
-442.642554	-287.455438
-450.292308	-281.373865
-458.052804	-275.225894
-465.918199	-268.998000
-473.880618	-262.676318
-481.930980	-256.247250
-490.057820	-249.696934
-498.248135	-243.011855
-506.486936	-236.178740
-514.756950	-229.184563
-523.039026	-222.016897
-531.311855	-214.663926
-539.552179	-207.114679
-547.734165	-199.358935
-555.830548	-191.387809
-563.811514	-183.193469
-571.646276	-174.769808
-579.301525	-166.112042
-586.743132	-157.217351
-593.935652	-148.084793
-600.842891	-138.715514
-607.428160	-129.112844
-613.655016	-119.282455
-619.486798	-109.232240
-624.888193	-98.972570
-629.825435	-88.516195
-634.266014	-77.878077
-638.180155	-67.075440
-641.540956	-56.127564
-644.324637	-45.055571
-646.511368	-33.882228
-648.084712	-22.631620
-649.033579	-11.328926
-649.350663	-0.000003
-649.033579	11.328920
-648.084712	22.631614
-646.511368	33.882222
-644.324637	45.055565
-641.540957	56.127558
-638.180156	67.075434
-634.266015	77.878071
-629.825436	88.516189
-624.888194	98.972564
-619.486799	109.232234
-613.655017	119.282449
-607.428205	129.112848
-600.842892	138.715508
-593.935654	148.084787
-586.743134	157.217346
-579.301526	166.112036
-571.646318	174.769815
-563.811516	183.193463
-555.830550	191.387803
-547.734241	199.358957
-539.552181	207.114674
-531.311928	214.663950
