Bx(GPa)	By(GPa)	Bz(GPa)
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
-0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
0.000000	-0.000000	649.350647
11.336452	0.000000	649.464905
11.334722	0.197848	649.464722
11.329537	0.395636	649.464355
11.320895	0.593303	649.463745
11.308799	0.790788	649.462708
11.293255	0.988032	649.461548
11.274266	1.184973	649.460144
11.251840	1.381552	649.458435
11.225982	1.577709	649.456543
11.196698	1.773383	649.454285
11.164002	1.968515	649.451904
11.127900	2.163045	649.449158
11.088405	2.356913	649.446228
11.045527	2.550061	649.443054
10.999283	2.742429	649.439636
10.949684	2.933959	649.435974
10.896746	3.124592	649.432068
10.840486	3.314269	649.427979
10.780921	3.502934	649.423645
10.718071	3.690528	649.419189
10.651951	3.876993	649.414368
10.582586	4.062274	649.409485
10.509995	4.246314	649.404358
10.434200	4.429055	649.398987
10.355227	4.610444	649.393555
10.273095	4.790423	649.387878
10.187834	4.968939	649.381958
10.099468	5.145936	649.375854
10.008026	5.321362	649.369751
9.913535	5.495162	649.363403
9.816024	5.667284	649.356995
9.715524	5.837676	649.350464
9.612062	6.006283	649.343689
9.505673	6.173057	649.336853
9.396392	6.337946	649.329956
9.284247	6.500900	649.322937
9.169277	6.661870	649.315857
9.051514	6.820806	649.308594
8.930996	6.977659	649.301270
8.807758	7.132382	649.293945
8.681842	7.284930	649.286560
8.553282	7.435255	649.279175
8.422118	7.583310	649.271667
8.288394	7.729053	649.264160
8.152146	7.872436	649.256653
8.013419	8.013419	649.249146
7.872253	8.151958	649.241638
7.728694	8.288010	649.234131
7.582783	8.421534	649.226562
7.434567	8.552491	649.219116
7.284090	8.680840	649.211670
7.131397	8.806542	649.204285
6.976538	8.929561	649.196960
6.819556	9.049856	649.189697
6.660502	9.167395	649.182556
6.499424	9.282138	649.175415
6.336370	9.394053	649.168396
6.171389	9.503105	649.161377
6.004534	9.609262	649.154541
5.835855	9.712494	649.147949
5.665401	9.812763	649.141235
5.493228	9.910046	649.134827
5.319385	10.004308	649.128479
5.143927	10.095526	649.122375
4.966907	10.183668	649.116394
4.788378	10.268709	649.110596
4.608395	10.350623	649.104919
4.427011	10.429386	649.099365
4.244285	10.504974	649.094055
4.060269	10.577363	649.088928
3.875021	10.646532	649.083984
3.688596	10.712461	649.079285
3.501051	10.775128	649.074707
3.312444	10.834517	649.070374
3.122832	10.890609	649.066284
2.932271	10.943386	649.062439
2.740821	10.992832	649.058777
2.548539	11.038935	649.055359
2.355483	11.081677	649.052246
2.161713	11.121048	649.049255
1.967286	11.157035	649.046570
1.772263	11.189627	649.044067
1.576702	11.218815	649.041931
1.380662	11.244589	649.039917
1.184204	11.266943	649.038269
0.987386	11.285870	649.036804
0.790268	11.301362	649.035645
0.592911	11.313418	649.034790
0.395374	11.322031	649.034058
0.197717	11.327198	649.033630
0.000000	11.328923	649.033569
-0.197717	11.327198	649.033630
-0.395374	11.322031	649.034058
-0.592911	11.313418	649.034790
-0.790268	11.301362	649.035645
-0.987386	11.285870	649.036804
-1.184203	11.266943	649.038269
-1.380662	11.244589	649.039917
-1.576702	11.218815	649.041931
-1.772263	11.189627	649.044067
-1.967286	11.157035	649.046570
-2.161713	11.121048	649.049255
-2.355483	11.081677	649.052246
-2.548539	11.038935	649.055359
-2.740821	10.992832	649.058777
-2.932271	10.943386	649.062439
-3.122832	10.890609	649.066284
-3.312444	10.834517	649.070374
-3.501051	10.775128	649.074707
-3.688596	10.712461	649.079285
-3.875021	10.646532	649.083984
-4.060269	10.577363	649.088928
-4.244285	10.504974	649.094055
-4.427011	10.429386	649.099365
-4.608395	10.350623	649.104919
-4.788378	10.268709	649.110596
-4.966907	10.183668	649.116394
-5.143927	10.095526	649.122375
-5.319385	10.004308	649.128479
-5.493228	9.910046	649.134827
-5.665401	9.812763	649.141235
-5.835855	9.712494	649.147949
-6.004534	9.609262	649.154541
-6.171389	9.503105	649.161377
-6.336370	9.394053	649.168396
-6.499424	9.282138	649.175415
-6.660502	9.167395	649.182556
-6.819556	9.049856	649.189697
-6.976538	8.929561	649.196960
-7.131397	8.806542	649.204285
-7.284090	8.680840	649.211670
-7.434567	8.552491	649.219116
-7.582783	8.421534	649.226562
-7.728694	8.288010	649.234131
-7.872253	8.151958	649.241638
-8.013419	8.013419	649.249146
-8.152146	7.872436	649.256653
-8.288394	7.729053	649.264160
-8.422118	7.583310	649.271667
-8.553282	7.435255	649.279175
-8.681842	7.284930	649.286560
-8.807758	7.132382	649.293945
-8.930996	6.977659	649.301270
-9.051514	6.820806	649.308594
-9.169277	6.661870	649.315857
-9.284247	6.500900	649.322937
-9.396392	6.337946	649.329956
-9.505673	6.173057	649.336853
-9.612062	6.006283	649.343689
-9.715524	5.837676	649.350464
-9.816024	5.667284	649.356995
-9.913535	5.495162	649.363403
-10.008026	5.321362	649.369751
-10.099468	5.145936	649.375854
-10.187834	4.968939	649.381958
-10.273095	4.790423	649.387878
-10.355227	4.610444	649.393555
-10.434200	4.429055	649.398987
-10.509995	4.246314	649.404358
-10.582586	4.062274	649.409485
-10.651951	3.876993	649.414368
-10.718071	3.690528	649.419189
-10.780921	3.502934	649.423645
-10.840486	3.314269	649.427979
-10.896746	3.124592	649.432068
-10.949684	2.933959	649.435974
-10.999283	2.742429	649.439636
-11.045527	2.550061	649.443054
-11.088405	2.356913	649.446228
-11.127900	2.163045	649.449158
-11.164002	1.968515	649.451904
-11.196698	1.773383	649.454285
-11.225982	1.577709	649.456543
-11.251840	1.381552	649.458435
-11.274266	1.184973	649.460144
-11.293255	0.988032	649.461548
-11.308799	0.790788	649.462708
-11.320895	0.593303	649.463745
-11.329537	0.395636	649.464355
-11.334722	0.197848	649.464722
-11.336452	0.000000	649.464905
-11.334722	-0.197848	649.464722
-11.329537	-0.395636	649.464355
-11.320895	-0.593303	649.463745
-11.308799	-0.790788	649.462708
-11.293255	-0.988032	649.461548
-11.274266	-1.184973	649.460144
-11.251840	-1.381552	649.458435
-11.225982	-1.577709	649.456543
-11.196698	-1.773383	649.454285
-11.164002	-1.968515	649.451904
-11.127900	-2.163045	649.449158
-11.088405	-2.356913	649.446228
-11.045527	-2.550061	649.443054
-10.999283	-2.742429	649.439636
-10.949684	-2.933959	649.435974
-10.896746	-3.124592	649.432068
-10.840486	-3.314269	649.427979
-10.780921	-3.502934	649.423645
-10.718071	-3.690528	649.419189
-10.651951	-3.876993	649.414368
-10.582586	-4.062274	649.409485
-10.509995	-4.246314	649.404358
-10.434200	-4.429055	649.398987
-10.355227	-4.610444	649.393555
-10.273095	-4.790423	649.387878
-10.187834	-4.968939	649.381958
-10.099468	-5.145936	649.375854
-10.008026	-5.321362	649.369751
-9.913535	-5.495162	649.363403
-9.816024	-5.667284	649.356995
-9.715524	-5.837675	649.350464
-9.612062	-6.006283	649.343689
-9.505673	-6.173057	649.336853
-9.396392	-6.337946	649.329956
-9.284247	-6.500900	649.322937
-9.169277	-6.661870	649.315857
-9.051514	-6.820806	649.308594
-8.930996	-6.977658	649.301270
-8.807759	-7.132382	649.293945
-8.681842	-7.284930	649.286560
-8.553282	-7.435255	649.279175
-8.422118	-7.583310	649.271667
-8.288394	-7.729052	649.264160
-8.152146	-7.872436	649.256653
-8.013419	-8.013419	649.249146
-7.872253	-8.151958	649.241638
-7.728694	-8.288010	649.234131
-7.582783	-8.421534	649.226562
-7.434567	-8.552491	649.219116
-7.284090	-8.680840	649.211670
-7.131397	-8.806542	649.204285
-6.976538	-8.929561	649.196960
-6.819556	-9.049856	649.189697
-6.660502	-9.167394	649.182495
-6.499424	-9.282138	649.175415
-6.336370	-9.394053	649.168396
-6.171389	-9.503105	649.161377
-6.004534	-9.609262	649.154541
-5.835855	-9.712494	649.147949
-5.665401	-9.812763	649.141235
-5.493228	-9.910046	649.134827
-5.319385	-10.004308	649.128479
-5.143927	-10.095526	649.122375
-4.966907	-10.183668	649.116394
-4.788378	-10.268709	649.110596
-4.608395	-10.350623	649.104919
-4.427011	-10.429386	649.099365
-4.244285	-10.504974	649.094055
-4.060269	-10.577363	649.088928
-3.875021	-10.646532	649.083984
-3.688596	-10.712461	649.079285
-3.501051	-10.775128	649.074707
-3.312444	-10.834517	649.070374
-3.122832	-10.890609	649.066284
-2.932271	-10.943386	649.062439
-2.740821	-10.992832	649.058777
-2.548539	-11.038935	649.055359
-2.355483	-11.081677	649.052246
-2.161713	-11.121048	649.049255
-1.967286	-11.157035	649.046570
-1.772263	-11.189627	649.044067
-1.576702	-11.218815	649.041931
-1.380662	-11.244589	649.039917
-1.184204	-11.266943	649.038269
-0.987386	-11.285870	649.036804
-0.790268	-11.301362	649.035645
-0.592911	-11.313418	649.034790
-0.395374	-11.322031	649.034058
-0.197717	-11.327198	649.033630
-0.000000	-11.328923	649.033569
0.197717	-11.327198	649.033630
0.395374	-11.322031	649.034058
0.592911	-11.313418	649.034790
0.790268	-11.301362	649.035645
0.987386	-11.285870	649.036804
1.184203	-11.266943	649.038269
1.380662	-11.244589	649.039917
1.576702	-11.218815	649.041931
1.772263	-11.189627	649.044067
1.967286	-11.157035	649.046570
2.161713	-11.121048	649.049255
2.355483	-11.081677	649.052246
2.548539	-11.038935	649.055359
2.740821	-10.992832	649.058777
2.932271	-10.943386	649.062439
3.122832	-10.890609	649.066284
3.312444	-10.834517	649.070374
3.501051	-10.775128	649.074707
3.688596	-10.712461	649.079285
3.875021	-10.646532	649.083984
4.060269	-10.577363	649.088928
